LATITUDE    HEIGHT       DOY  E. ANGLE      TEMP     PRESS         WVP        TM     DELAY   D. RATE
   (DEG)       (M)               (DEG)       (K)    (MBAR)      (MBAR)       (K)       (M)   (M/RAD)

  60.000     0.000     1.000    60.000   258.739  1013.315       1.608   242.275     2.699    -1.554
  60.000     0.000     1.000    90.000   258.739  1013.315       1.608   242.275     2.339     0.000
  60.000     0.000   101.000    30.000   267.502  1012.292       3.155   251.895     4.695    -8.057
  60.000     0.000   101.000    60.000   267.502  1012.292       3.155   251.895     2.719    -1.565
  60.000     0.000   101.000    90.000   267.502  1012.292       3.155   251.895     2.356     0.000
  60.000     0.000   201.000    30.000   286.945  1010.024      11.884   272.245     4.852    -8.324
  60.000     0.000   201.000    60.000   286.945  1010.024      11.884   272.245     2.810    -1.617
  60.000     0.000   201.000    90.000   286.945  1010.024      11.884   272.245     2.435     0.000
  60.000     0.000   301.000    30.000   272.392  1011.722       4.497   257.111     4.723    -8.103
  60.000     0.000   301.000    60.000   272.392  1011.722       4.497   257.111     2.735    -1.574
  60.000     0.000   301.000    90.000   272.392  1011.722       4.497   257.111     2.370     0.000
  60.000   500.000     1.000    30.000   256.406   948.294       1.394   240.088     4.358    -7.480
  60.000   500.000     1.000    60.000   256.406   948.294       1.394   240.088     2.524    -1.453
  60.000   500.000     1.000    90.000   256.406   948.294       1.394   240.088     2.187     0.000
  60.000   500.000   101.000    30.000   264.933   949.379       2.674   249.473     4.396    -7.543
  60.000   500.000   101.000    60.000   264.933   949.379       2.674   249.473     2.546    -1.465
  60.000   500.000   101.000    90.000   264.933   949.379       2.674   249.473     2.205     0.000
  60.000   500.000   201.000    30.000   283.850   951.345       9.615   269.307     4.537    -7.783
  60.000   500.000   201.000    60.000   283.850   951.345       9.615   269.307     2.628    -1.512
  60.000   500.000   201.000    90.000   283.850   951.345       9.615   269.307     2.276     0.000
  60.000   500.000   301.000    30.000   269.690   949.928       3.764   254.558     4.422    -7.588
  60.000   500.000   301.000    60.000   269.690   949.928       3.764   254.558     2.561    -1.474
  60.000   500.000   301.000    90.000   269.690   949.928       3.764   254.558     2.219     0.000
  60.000  1000.000     1.000    30.000   254.073   886.907       1.208   237.901     4.073    -6.991
  60.000  1000.000     1.000    60.000   254.073   886.907       1.208   237.901     2.359    -1.358
  60.000  1000.000     1.000    90.000   254.073   886.907       1.208   237.901     2.044     0.000
  60.000  1000.000   101.000    30.000   262.363   889.819       2.262   247.051     4.113    -7.058
  60.000  1000.000   101.000    60.000   262.363   889.819       2.262   247.051     2.382    -1.371
  60.000  1000.000   101.000    90.000   262.363   889.819       2.262   247.051     2.064     0.000
  60.000  1000.000   201.000    30.000   280.756   895.488       7.761   266.370     4.243    -7.280
  60.000  1000.000   201.000    60.000   280.756   895.488       7.761   266.370     2.457    -1.414
  60.000  1000.000   201.000    90.000   280.756   895.488       7.761   266.370     2.129     0.000
  60.000  1000.000   301.000    30.000   266.989   891.343       3.145   252.006     4.139    -7.103
  60.000  1000.000   301.000    60.000   266.989   891.343       3.145   252.006     2.397    -1.380
  60.000  1000.000   301.000    90.000   266.989   891.343       3.145   252.006     2.077     0.000
  90.000     0.000     1.000    30.000   250.686  1013.447       0.817   237.905     4.620    -7.930
  90.000     0.000     1.000    60.000   250.686  1013.447       0.817   237.905     2.676    -1.540
  90.000     0.000     1.000    90.000   250.686  1013.447       0.817   237.905     2.318     0.000
  90.000     0.000   101.000    30.000   259.157  1013.155       1.706   245.769     4.648    -7.976
  90.000     0.000   101.000    60.000   259.157  1013.155       1.706   245.769     2.692    -1.549
  90.000     0.000   101.000    90.000   259.157  1013.155       1.706   245.769     2.332     0.000
  90.000     0.000   201.000    30.000   277.952  1012.507       7.340   263.258     4.800    -8.235
  90.000     0.000   201.000    60.000   277.952  1012.507       7.340   263.258     2.780    -1.600
  90.000     0.000   201.000    90.000   277.952  1012.507       7.340   263.258     2.409     0.000
  90.000     0.000   301.000    30.000   263.884  1012.992       2.515   250.162     4.672    -8.017
  90.000     0.000   301.000    60.000   263.884  1012.992       2.515   250.162     2.706    -1.557
  90.000     0.000   301.000    90.000   263.884  1012.992       2.515   250.162     2.344     0.000
  90.000   500.000     1.000    30.000   248.698   946.435       0.699   236.017     4.313    -7.403
  90.000   500.000     1.000    60.000   248.698   946.435       0.699   236.017     2.498    -1.438
  90.000   500.000     1.000    90.000   248.698   946.435       0.699   236.017     2.164     0.000
  90.000   500.000   101.000    30.000   256.988   948.266       1.450   243.710     4.346    -7.459
  90.000   500.000   101.000    60.000   256.988   948.266       1.450   243.710     2.517    -1.449
  90.000   500.000   101.000    90.000   256.988   948.266       1.450   243.710     2.181     0.000
  90.000   500.000   201.000    30.000   275.381   951.884       6.157   260.821     4.493    -7.709
  90.000   500.000   201.000    60.000   275.381   951.884       6.157   260.821     2.602    -1.498
  90.000   500.000   201.000    90.000   275.381   951.884       6.157   260.821     2.255     0.000
  90.000   500.000   301.000    30.000   261.614   949.231       2.130   248.009     4.371    -7.502
  90.000   500.000   301.000    60.000   261.614   949.231       2.130   248.009     2.532    -1.457
  90.000   500.000   301.000    90.000   261.614   949.231       2.130   248.009     2.193     0.000
  90.000  1000.000     1.000    30.000   246.710   883.368       0.597   234.129     4.024    -6.908
  90.000  1000.000     1.000    60.000   246.710   883.368       0.597   234.129     2.330    -1.341
  90.000  1000.000     1.000    90.000   246.710   883.368       0.597   234.129     2.019     0.000
  90.000  1000.000   101.000    30.000   254.819   887.035       1.230   241.652     4.062    -6.972
  90.000  1000.000   101.000    60.000   254.819   887.035       1.230   241.652     2.352    -1.354
  90.000  1000.000   101.000    90.000   254.819   887.035       1.230   241.652     2.038     0.000
  90.000  1000.000   201.000    30.000   272.810   894.373       5.156   258.384     4.205    -7.215
  90.000  1000.000   201.000    60.000   272.810   894.373       5.156   258.384     2.435    -1.402
  90.000  1000.000   201.000    90.000   272.810   894.373       5.156   258.384     2.110     0.000
  90.000  1000.000   301.000    30.000   259.344   888.980       1.802   245.855     4.088    -7.017
  90.000  1000.000   301.000    60.000   259.344   888.980       1.802   245.855     2.368    -1.363
  90.000  1000.000   301.000    90.000   259.344   888.980       1.802   245.855     2.051     0.000
